UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW 
486576,"R",131,"R",29,"R",102,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",131,"R",29,"R",102,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
486594,"R",22,"R",9,"R",13,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",4,"R",2,"R",2,"R",0,"R",0,"R",0,"R",14,"R",6,"R",8,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
486619,"R",24,"R",1,"R",23,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",1,"R",3,"R",0,"R",0,"R",0,"R",18,"R",0,"R",18,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2
486691,"R",38,"R",2,"R",36,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",25,"R",1,"R",24,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",1,"R",1,"R",10,"R",0,"R",10,"R",0,"R",0,"R",0
486707,"R",117,"R",5,"R",112,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"R",64,"R",4,"R",60,"R",5,"R",1,"R",4,"Z",0,"Z",0,"Z",0,"R",44,"Z",0,"R",44,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
486716,"R",57,"R",2,"R",55,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"Z",0,"R",13,"R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",41,"R",2,"R",39,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
486734,"R",74,"R",23,"R",51,"R",0,"R",0,"R",0,"R",2,"R",1,"R",1,"R",20,"R",7,"R",13,"R",9,"R",3,"R",6,"R",0,"R",0,"R",0,"R",18,"R",5,"R",13,"R",1,"R",0,"R",1,"R",24,"R",7,"R",17,"R",0,"R",0,"R",0
486752,"R",75,"R",5,"R",70,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",1,"R",14,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",52,"R",2,"R",50,"R",5,"Z",0,"R",5,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0
486770,"R",182,"R",55,"R",127,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",54,"R",19,"R",35,"R",35,"R",14,"R",21,"R",1,"Z",0,"R",1,"R",48,"R",15,"R",33,"R",2,"Z",0,"R",2,"R",40,"R",6,"R",34,"Z",0,"Z",0,"Z",0
486798,"R",757,"R",727,"R",30,"R",3,"R",3,"R",0,"R",2,"R",2,"R",0,"R",170,"R",160,"R",10,"R",300,"R",292,"R",8,"R",1,"R",1,"R",0,"R",204,"R",195,"R",9,"R",27,"R",26,"R",1,"R",50,"R",48,"R",2,"R",0,"R",0,"R",0
