UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN    
239248,"R",2891,"R",1258,"R",1633,"R",18,"R",9,"R",9,"R",187,"R",89,"R",98,"R",645,"R",186,"R",459,"R",607,"R",239,"R",368,"R",4,"R",3,"R",1,"R",1176,"R",603,"R",573,"R",117,"R",38,"R",79,"R",111,"R",79,"R",32,"R",26,"R",12,"R",14,"R",33,"A",,"R",33,"Z",0,"A",,"Z",0,"R",33,"A",,"R",33,"R",2858
239309,"R",191,"R",42,"R",149,"R",0,"Z",0,"R",0,"R",10,"R",3,"R",7,"R",7,"R",2,"R",5,"R",34,"R",7,"R",27,"R",0,"Z",0,"R",0,"R",123,"R",27,"R",96,"R",16,"R",3,"R",13,"R",1,"Z",0,"R",1,"R",0,"Z",0,"R",0,"R",1,"R",22,"R",23,"R",0,"A",,"R",0,"R",1,"R",22,"R",23,"R",168
239318,"R",641,"R",423,"R",218,"R",1,"R",1,"R",0,"R",48,"R",29,"R",19,"R",16,"R",8,"R",8,"R",53,"R",31,"R",22,"R",0,"R",0,"R",0,"R",425,"R",284,"R",141,"R",20,"R",12,"R",8,"R",41,"R",29,"R",12,"R",37,"R",29,"R",8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",641
239372,"R",1294,"R",513,"R",781,"R",11,"R",6,"R",5,"R",22,"R",6,"R",16,"R",82,"R",64,"R",18,"R",85,"R",30,"R",55,"R",3,"R",1,"R",2,"R",1049,"R",382,"R",667,"R",22,"R",13,"R",9,"R",11,"R",7,"R",4,"R",9,"R",4,"R",5,"R",9,"A",,"R",9,"Z",0,"A",,"Z",0,"R",9,"A",,"R",9,"R",1285
239390,"R",280,"R",10,"R",270,"R",1,"R",1,"R",0,"R",14,"R",1,"R",13,"R",22,"Z",0,"R",22,"R",55,"R",2,"R",53,"R",1,"Z",0,"R",1,"R",178,"R",6,"R",172,"R",6,"Z",0,"R",6,"R",2,"Z",0,"R",2,"R",1,"Z",0,"R",1,"R",0,"S",,"S",,"R",0,"S",,"S",,"R",0,"S",,"S",,"S",.
239424,"R",24,"R",20,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",22,"R",18,"R",4,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",24
239442,"R",370,"R",98,"R",272,"R",24,"R",10,"R",14,"R",2,"Z",0,"R",2,"R",2,"R",1,"R",1,"R",16,"R",7,"R",9,"Z",0,"Z",0,"Z",0,"R",312,"R",74,"R",238,"R",9,"R",4,"R",5,"R",5,"R",2,"R",3,"Z",0,"Z",0,"Z",0,"R",1,"A",,"R",1,"Z",0,"A",,"Z",0,"R",1,"A",,"R",1,"R",369
239460,"R",1593,"R",649,"R",944,"R",11,"R",4,"R",7,"R",79,"R",36,"R",43,"R",16,"R",5,"R",11,"R",71,"R",26,"R",45,"R",2,"R",2,"R",0,"R",1299,"R",527,"R",772,"R",33,"R",9,"R",24,"R",82,"R",40,"R",42,"R",0,"R",0,"R",0,"R",24,"S",,"S",,"Z",0,"A",,"Z",0,"R",24,"S",,"S",,"S",.
239488,"R",2538,"R",949,"R",1589,"R",58,"R",18,"R",40,"R",88,"R",35,"R",53,"R",66,"R",15,"R",51,"R",267,"R",89,"R",178,"R",1,"R",1,"R",0,"R",1994,"R",777,"R",1217,"R",63,"R",14,"R",49,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",2538
239512,"R",109,"R",48,"R",61,"R",2,"R",1,"R",1,"R",1,"R",1,"R",0,"R",4,"R",3,"R",1,"R",8,"R",2,"R",6,"R",0,"R",0,"R",0,"R",85,"R",36,"R",49,"R",2,"R",1,"R",1,"R",1,"R",0,"R",1,"R",6,"R",4,"R",2,"R",0,"R",0,"R",0,"Z",0,"A",,"Z",0,"R",0,"R",0,"R",0,"R",109
