UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN    
219879,"R",647,"R",332,"R",315,"R",2,"R",1,"R",1,"R",8,"R",4,"R",4,"R",32,"R",16,"R",16,"R",37,"R",19,"R",18,"Z",0,"Z",0,"Z",0,"R",557,"R",288,"R",269,"R",3,"R",1,"R",2,"R",8,"R",3,"R",5,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"Z",0,"A",,"Z",0,"R",0,"A",,"R",0,"R",647
219888,"R",1059,"R",444,"R",615,"R",6,"R",2,"R",4,"R",19,"R",7,"R",12,"R",63,"R",32,"R",31,"R",71,"R",18,"R",53,"R",0,"R",0,"R",0,"R",859,"R",371,"R",488,"R",32,"R",9,"R",23,"R",7,"R",4,"R",3,"R",2,"R",1,"R",1,"R",0,"A",,"R",0,"Z",0,"A",,"Z",0,"R",0,"A",,"R",0,"R",1059
219903,"R",778,"R",41,"R",737,"R",7,"R",1,"R",6,"R",5,"Z",0,"R",5,"R",407,"R",17,"R",390,"R",52,"R",6,"R",46,"R",1,"Z",0,"R",1,"R",75,"R",3,"R",72,"R",7,"Z",0,"R",7,"R",224,"R",14,"R",210,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"Z",0,"A",,"Z",0,"R",0,"A",,"R",0,"R",778
219921,"R",166,"R",95,"R",71,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",55,"R",17,"R",38,"R",7,"R",4,"R",3,"R",0,"R",0,"R",0,"R",93,"R",65,"R",28,"R",8,"R",7,"R",1,"R",2,"R",1,"R",1,"R",1,"R",1,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",166
219949,"R",654,"R",249,"R",405,"R",3,"R",2,"R",1,"R",12,"R",2,"R",10,"R",66,"R",29,"R",37,"R",37,"R",12,"R",25,"R",0,"R",0,"R",0,"R",418,"R",153,"R",265,"R",2,"R",1,"R",1,"R",79,"R",32,"R",47,"R",37,"R",18,"R",19,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",654
219976,"R",1459,"R",491,"R",968,"R",4,"R",2,"R",2,"R",42,"R",7,"R",35,"R",142,"R",45,"R",97,"R",54,"R",22,"R",32,"R",1,"R",1,"R",0,"R",1119,"R",378,"R",741,"R",41,"R",14,"R",27,"R",17,"R",3,"R",14,"R",39,"R",19,"R",20,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",1459
219994,"R",485,"R",265,"R",220,"R",2,"R",2,"R",0,"R",2,"R",0,"R",2,"R",67,"R",27,"R",40,"R",39,"R",25,"R",14,"R",3,"R",0,"R",3,"R",333,"R",186,"R",147,"R",32,"R",20,"R",12,"R",6,"R",4,"R",2,"R",1,"R",1,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",485
220002,"R",10,"Z",0,"R",10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",10
220057,"R",511,"R",147,"R",364,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",79,"R",19,"R",60,"R",22,"R",6,"R",16,"R",1,"R",1,"R",0,"R",388,"R",114,"R",274,"R",17,"R",6,"R",11,"R",2,"R",0,"R",2,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",511
220075,"R",3499,"R",1183,"R",2316,"R",2,"Z",0,"R",2,"R",66,"R",27,"R",39,"R",225,"R",81,"R",144,"R",105,"R",42,"R",63,"R",1,"Z",0,"R",1,"R",2821,"R",939,"R",1882,"R",115,"R",41,"R",74,"R",98,"R",23,"R",75,"R",66,"R",30,"R",36,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",3499
