UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW 
133942,"R",33,"R",7,"R",26,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",3,"R",0,"R",3,"R",2,"R",0,"R",2,"R",0,"R",0,"R",0,"R",27,"R",7,"R",20,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
133951,"R",15845,"R",6204,"R",9641,"R",12,"R",5,"R",7,"R",437,"R",196,"R",241,"R",1899,"R",623,"R",1276,"R",9902,"R",3888,"R",6014,"R",17,"R",5,"R",12,"R",1659,"R",680,"R",979,"R",365,"R",137,"R",228,"R",79,"R",32,"R",47,"R",1475,"R",638,"R",837
133960,"R",266,"R",139,"R",127,"R",2,"R",1,"R",1,"R",4,"R",1,"R",3,"R",29,"R",19,"R",10,"R",84,"R",46,"R",38,"R",0,"R",0,"R",0,"R",130,"R",64,"R",66,"R",7,"R",3,"R",4,"R",5,"R",3,"R",2,"R",5,"R",2,"R",3
133979,"R",184,"R",53,"R",131,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",123,"R",36,"R",87,"R",11,"R",5,"R",6,"R",0,"R",0,"R",0,"R",3,"R",1,"R",2,"R",4,"R",0,"R",4,"R",17,"R",5,"R",12,"R",26,"R",6,"R",20
133997,"R",207,"R",103,"R",104,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",37,"R",16,"R",21,"R",148,"R",71,"R",77,"R",0,"R",0,"R",0,"R",10,"R",8,"R",2,"R",1,"R",1,"R",0,"R",11,"R",7,"R",4,"R",0,"R",0,"R",0
134024,"R",87,"R",18,"R",69,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",10,"R",1,"R",9,"R",4,"R",1,"R",3,"R",0,"R",0,"R",0,"R",67,"R",15,"R",52,"R",4,"R",1,"R",3,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1
134079,"R",717,"R",235,"R",482,"R",7,"R",2,"R",5,"R",26,"R",4,"R",22,"R",42,"R",8,"R",34,"R",87,"R",33,"R",54,"R",1,"R",0,"R",1,"R",509,"R",165,"R",344,"R",9,"R",2,"R",7,"R",5,"R",2,"R",3,"R",31,"R",19,"R",12
134097,"R",11855,"R",5096,"R",6759,"R",20,"R",8,"R",12,"R",309,"R",141,"R",168,"R",1041,"R",322,"R",719,"R",2201,"R",937,"R",1264,"R",10,"R",5,"R",5,"R",7173,"R",3170,"R",4003,"R",402,"R",154,"R",248,"R",146,"R",84,"R",62,"R",553,"R",275,"R",278
134130,"R",15283,"R",6662,"R",8621,"R",30,"R",16,"R",14,"R",1106,"R",497,"R",609,"R",837,"R",271,"R",566,"R",2807,"R",1191,"R",1616,"R",54,"R",16,"R",38,"R",8195,"R",3496,"R",4699,"R",474,"R",191,"R",283,"R",471,"R",236,"R",235,"R",1309,"R",748,"R",561
134228,"R",17,"R",12,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",6,"R",3,"R",7,"R",6,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
134237,"R",5839,"R",3980,"R",1859,"R",36,"R",22,"R",14,"R",187,"R",131,"R",56,"R",1367,"R",905,"R",462,"R",1031,"R",691,"R",340,"R",13,"R",6,"R",7,"R",2383,"R",1715,"R",668,"R",324,"R",205,"R",119,"R",463,"R",279,"R",184,"R",35,"R",26,"R",9
134291,"R",353,"R",272,"R",81,"R",8,"R",5,"R",3,"R",5,"R",5,"R",0,"R",71,"R",44,"R",27,"R",20,"R",15,"R",5,"R",1,"R",1,"R",0,"R",226,"R",180,"R",46,"R",22,"R",22,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
